arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,10,5,0.5,-1.4601990669649603,0.06153846153846154,0.9076923076923078,False,0.05,0.5,0.6667345499999999,774.0
balanced,10,6,0.6,-1.115103058068758,0.13846153846153847,0.9692307692307693,False,0.05,0.5,0.52949895,695.6
baseline,10,9,0.9,2.7370020230519776,0.4461538461538462,0.9846153846153847,False,0.05,0.5,0.5433717,382.9
cautious,10,4,0.4,-0.6931471805599453,0.015384615384615385,0.8307692307692308,False,0.05,0.5,0.8715642,890.4
domain_expert,10,6,0.6,-0.8476114286187442,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.52587735,670.0
exploratory,10,8,0.8,1.4519613956372606,0.3230769230769231,0.9846153846153847,False,0.05,0.5,0.5416311,573.4
explorer,10,6,0.6,-0.7026851511403278,0.16923076923076924,0.9846153846153847,False,0.05,0.5,0.72644745,770.0
junior_reactive,10,5,0.5,-1.1746665149957354,0.06153846153846154,0.9076923076923078,False,0.05,0.5,0.4636164,494.5
overthinker,10,6,0.6,-1.506102380603361,0.12307692307692308,0.9692307692307693,False,0.05,0.5,0.380841,623.6
planner,10,8,0.8,1.3406891849931553,0.3230769230769231,0.9846153846153847,False,0.05,0.5,0.44763915,679.4
rapid,10,7,0.7,0.14891287255076635,0.26153846153846155,0.9846153846153847,False,0.05,0.5,0.6079278,683.1
verifier,10,4,0.4,-0.9788147464789705,0.046153846153846156,0.8461538461538463,False,0.05,0.5,0.8437617000000001,1135.6
