arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,9,5,0.5555555555555556,-0.8690024839548292,0.12307692307692308,0.9846153846153847,False,0.05,0.5,0.5148439499999999,548.5
balanced,15,11,0.7333333333333333,1.2820623588418627,0.36923076923076925,0.9846153846153847,False,0.05,0.5,0.8302819499999999,1017.5
baseline,10,6,0.6,-0.8133592933764469,0.18461538461538463,0.9846153846153847,False,0.05,0.5,0.38377095,384.3
cautious,10,6,0.6,-0.6323837441185614,0.16923076923076924,0.9846153846153847,False,0.05,0.5,0.5556712500000001,548.3
domain_expert,11,7,0.6363636363636364,-0.3089740570314975,0.2153846153846154,0.9846153846153847,False,0.05,0.5,0.5789997,640.3
exploratory,8,5,0.625,-0.8741319392423097,0.1076923076923077,0.9846153846153847,False,0.05,0.5,0.27918195,398.8
explorer,8,4,0.5,-0.7996160962975449,0.09230769230769231,0.9692307692307693,False,0.05,0.5,0.39958364999999996,439.2
junior_reactive,8,4,0.5,-1.117689734090567,0.015384615384615385,0.9384615384615385,False,0.05,0.5,0.3301062,480.5
overthinker,8,5,0.625,-0.7547479076701598,0.12307692307692308,0.9846153846153847,False,0.05,0.5,0.32259885,410.8
planner,12,8,0.6666666666666666,-0.3508837954777617,0.24615384615384617,0.9846153846153847,False,0.05,0.5,0.4641,657.7
rapid,10,6,0.6,-0.11969884415578469,0.16923076923076924,0.9846153846153847,False,0.05,0.5,0.76441665,747.0999999999999
verifier,11,5,0.45454545454545453,0.0,0.07692307692307693,0.8769230769230769,False,0.05,0.5,0.6326352000000001,699.0
