arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,5,4,0.8,0.5232481437645479,0.13846153846153847,0.9846153846153847,False,0.05,0.5,0.22104255,356.4
balanced,5,4,0.8,0.5232481437645479,0.13846153846153847,0.9846153846153847,False,0.05,0.5,0.22532160000000004,314.4
baseline,5,5,1.0,1.6218604324326575,0.26153846153846155,0.9846153846153847,False,0.05,0.5,0.3077391,357.29999999999995
cautious,5,2,0.4,-0.6931471805599453,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.47794440000000005,444.5
domain_expert,5,3,0.6,-0.5753641449035618,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.2067651,372.4
exploratory,5,4,0.8,0.5232481437645479,0.13846153846153847,0.9846153846153847,False,0.05,0.5,0.23342295000000002,203.6
explorer,5,3,0.6,-0.5753641449035618,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.37181340000000007,434.5
junior_reactive,5,2,0.4,-0.6931471805599453,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.31949745,468.3
overthinker,5,3,0.6,-1.082082986716899,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.1659789,340.5
planner,5,5,1.0,1.6218604324326575,0.26153846153846155,0.9846153846153847,False,0.05,0.5,0.13266630000000001,165.9
rapid,5,3,0.6,-0.4393666597838458,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.36492585000000005,354.4
verifier,5,1,0.2,0.0,0.015384615384615385,0.9076923076923078,False,0.05,0.5,0.34384935,475.5
