arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,11,7,0.6363636363636364,-0.3850923678413554,0.2153846153846154,0.9846153846153847,False,0.05,0.5,0.5072133,1077.7
balanced,8,3,0.375,-0.9503343988493111,0.015384615384615385,0.8769230769230769,False,0.05,0.5,0.3511242,730.4
baseline,13,9,0.6923076923076923,0.3824250842663558,0.2923076923076923,0.9846153846153847,False,0.05,0.5,0.4582833,958.0
cautious,7,3,0.42857142857142855,-1.3833881277725215,0.015384615384615385,0.9384615384615385,False,0.05,0.5,0.29128575,643.4
domain_expert,8,4,0.5,-1.0295930198965104,0.06153846153846154,0.9692307692307693,False,0.05,0.5,0.2541519,619.8
exploratory,10,6,0.6,-0.958408666403699,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.48166754999999994,830.2
explorer,16,12,0.75,1.6875274669500273,0.4,0.9846153846153847,False,0.05,0.5,0.83060955,1029.2
junior_reactive,9,5,0.5555555555555556,-1.1926002089205334,0.07692307692307693,0.9538461538461539,False,0.05,0.5,0.2988048,552.3
overthinker,8,5,0.625,-0.9642999510605155,0.12307692307692308,0.9846153846153847,False,0.05,0.5,0.2927208,522.3
planner,8,3,0.375,-0.92908776990462,0.015384615384615385,0.8769230769230769,False,0.05,0.5,0.3082134,881.5
rapid,11,5,0.45454545454545453,0.0,0.07692307692307693,0.8769230769230769,False,0.05,0.5,0.4663662,810.5
verifier,11,6,0.5454545454545454,-0.3768121383993992,0.15384615384615385,0.9384615384615385,False,0.05,0.5,0.51164865,651.9
